name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Meu Cinema,Phill Veras,1AE8YeiCIaxpvnBLKQygLs,0.541,0.2,-12.277,0.0366,0.9,116.692,0.114,0.0932
Today,Far Caspian,7KVGTie5N8KjstWEHRS5qU,0.585,0.721,-8.042,0.0283,0.00107,143.015,0.109,0.959
Slow Things Down,fika,2guZTTMH6ZSyMBuMXBnAsJ,0.43,0.512,-10.112,0.0355,0.43,85.49,0.127,0.599
Tick Tick Boom,The Hives,7xl2ZaOnKAxJyrkIQe2S43,0.564,0.834,-3.121,0.117,0.00036,135.074,0.273,0.478
Вы,Дайте танк (!),1vQRta0wrnO3p0LxZP3dtU,0.374,0.946,-2.672,0.0904,0.178,180.149,0.248,0.505
"#41 - Live at Radio City Music Hall, New York, NY - April 2007",Dave Matthews,0oUzMf8vvmoBbJGIXgeAoR,0.412,0.653,-5.635,0.0318,0.676,96.907,0.724,0.33
Miles Away,Knuckle Puck,5V8drPxlKNNT5VTVWo9tD2,0.482,0.961,-1.723,0.0557,2.84e-05,135.067,0.185,0.68
RSVP,Knuckle Puck,4VAldZrI77tWB14a076NdB,0.359,0.941,-2.485,0.0709,6.74e-05,89.158,0.346,0.555
Into The Blue,Knuckle Puck,3o7ztlBZJrN8W4eMqtbFUY,0.248,0.976,-1.978,0.111,1.07e-05,149.018,0.202,0.343
True North,Knuckle Puck,7eaC1GaT7KWEbfUDrjfLuc,0.453,0.936,-2.374,0.0473,8.07e-06,124.01,0.153,0.555
Sidechain,Knuckle Puck,0BtwZsglZBOWIWpA4Bkd9a,0.421,0.975,-2.484,0.0806,6.78e-06,154.99,0.196,0.555
Bright Beginning,Cloudchord,4ofH7WBpRvMzVdxRxNzefp,0.511,0.62,-9.437,0.0276,0.338,91.952,0.328,0.174
Clandestine,Ekcle,2gYozgMeOj20xdVY6HvzKx,0.499,0.554,-10.866,0.0465,0.0324,125.548,0.133,0.0427
Infinity Beach,Night Verses,2tlfCP9sbv7EiQETYBcSmX,0.421,0.664,-9.063,0.0432,0.0223,179.887,0.156,0.457
You'll miss me when I'm not around,Grimes,5CCI3yvULsQRQacPgQ1NCO,0.606,0.857,-2.915,0.0301,0.344,98.057,0.15,0.825
Entropy,Grimes,5li3FHS5s9V3l4xWsUcmQa,0.756,0.624,-6.623,0.0384,0.313,109.53,0.0983,0.789
Butterfly,Grimes,6pfmQTZWmwL2H2BpdzSl8l,0.698,0.638,-6.536,0.0296,0.00131,111.982,0.184,0.595
Sweet (feat. Landon Sears),Bren Joy,3IPBftcOHWxzLFyH5svvnY,0.623,0.73,-6.851,0.124,0.174,78.056,0.0684,0.549
World Princess Part II,Grimes,7BSeKFoxuIBnkHEHsWscI9,0.653,0.889,-5.415,0.0552,0.00104,107.475,0.374,0.665
New Gods,Grimes,05gxfnUV4auQyym1VIcVE0,0.252,0.357,-9.453,0.0384,0.241,141.66,0.106,0.117
"Oh, Death",SUGR?,2eewWflXbzyR2HvKdVSqUe,0.676,0.691,-7.343,0.0386,0.00529,139.99,0.238,0.738
Sorry Haha I Fell Asleep,Egg,4EzVsSkEdO7JJRe80MxtQk,0.521,0.0579,-21.55,0.0787,0.988,114.334,0.163,0.406
The Reeling,Passion Pit,5noQJkpVfHt2D4df2GXieV,0.597,0.777,-5.638,0.0668,0.000356,111.999,0.169,0.776
Not Nineteen Forever,Courteeners,19CIsQ1HElu4XHdLCMlSqu,0.402,0.92,-2.944,0.0408,0.000174,139.793,0.0807,0.297
BEST INTEREST,"Tyler, The Creator",3jHdKaLCkuNEkWcLVmQPCX,0.596,0.575,-8.325,0.0514,0.0861,98.265,0.334,0.34
Waste Love (feat. Madison Love),Machine Gun Kelly,581geNTL8gGJE3MEPY5tcE,0.617,0.7,-6.715,0.042,0.0155,150.002,0.0935,0.315
Tempest,SOHN,4jWrn9aRIB1KmV4IEUkWUi,0.392,0.507,-7.713,0.0725,0.661,90.214,0.106,0.168
Handmade Cities,Plini,257CrtLcfv4n9bBuDU4vgQ,0.588,0.755,-6.842,0.0434,0.0497,102.941,0.163,0.437
Electric Sunrise,Plini,4ZskYxIkEE0PhYCLHsxcF6,0.371,0.63,-7.938,0.0521,0.0246,137.92,0.11,0.221
Yours To Keep,Sticky Fingers,5L5jJxKnOMzu2EJ8IkJN3o,0.653,0.563,-6.295,0.0443,0.509,107.042,0.0838,0.175
Get It Right,Savanna,54rhrk2AoYjEn49AK3Fnov,0.595,0.702,-7.311,0.0369,0.0387,101.992,0.368,0.385
Here,Cold Violets,49PBKq0hyMr0q5xgOBAnK7,0.559,0.614,-11.295,0.028,0.0453,133.983,0.123,0.582
Close To Me,The Cure,4xiyq1iRdsxuU1BPUJ490Z,0.724,0.523,-11.139,0.116,0.0745,185.075,0.0811,0.965
Forrozinho,Morgana Moreno,0lWB3iNufWurrOlfgHleBh,0.667,0.217,-10.483,0.393,0.987,101.246,0.0907,0.875
Terra Vermelha,Morgana Moreno,4sFH5tDkw5isk9ROeClTxG,0.528,0.228,-11.998,0.0427,0.981,98.887,0.145,0.468
Ligeirinho,Morgana Moreno,3shww7VZocsoqhd8growCl,0.665,0.305,-10.807,0.063,0.98,110.519,0.142,0.874
All Animal,Through Fire,6rUcboqRuVuowjaL5YUNtx,0.57,0.924,-4.772,0.0875,1.66e-05,101.046,0.0819,0.332
1985,Bowling For Soup,5oQcOu1omDykbIPSdSQQNJ,0.606,0.887,-4.404,0.0598,0.000242,119.974,0.337,0.903
Stop,Better Half,1OuRi2ky9QMdWX2LgBvhKW,0.406,0.997,-3.368,0.277,6.44e-05,159.938,0.787,0.15
Another Level,Oh The Larceny,5D7aDZog6fjw7xLrEqAcir,0.659,0.781,-5.582,0.062,0.255,146.104,0.0773,0.642
A Thousand Hearts,State Champs,2pngR1hxne3DuvyVer75fl,0.672,0.58,-6.178,0.0262,0.709,94.453,0.118,0.538
More Like Jason,Little Tybee,55WIk3xZxssa1WPHOfvLPz,0.391,0.632,-6.507,0.0428,0.332,98.966,0.216,0.493
Утро,Дайте танк (!),0aKl63MnUIVKkXlVtp2vLr,0.549,0.493,-8.589,0.113,0.488,79.617,0.134,0.396
Sally Cinnamon - Single Mix,The Stone Roses,6sDSDCrz36fF78hfwvAEmq,0.32,0.594,-12.639,0.0359,0.00521,130.476,0.279,0.263
Pen And Paper,The Red Jumpsuit Apparatus,4avrnJ1t946he63pkD4syn,0.456,0.95,-3.286,0.0522,0.00476,164.959,0.157,0.384
Girls And Boys In Love,The Rumble Strips,2nL4aCmidC5wGx2eYd02aL,0.587,0.901,-3.069,0.0718,0.111,94.193,0.0878,0.872
Off She Goes,Bad Suns,277XsneDiv30dhONPCOmrF,0.621,0.843,-5.412,0.0315,0.0874,132.01,0.106,0.445
Chelsea Dagger,The Fratellis,1bCmvezFg5MRcENzCGG1Cy,0.511,0.815,-3.14,0.144,0.0491,154.514,0.0826,0.586
Amour T'es La,Snarky Puppy,4MIXgItmCtVLCnT4BvU5tU,0.511,0.822,-11.349,0.183,0.211,120.076,0.733,0.482
Twice a Fool,#1 Dads,3Y8qRzD6Wsr0x4bJYkqSvo,0.835,0.39,-8.657,0.0287,0.798,95.023,0.112,0.536
Creases,Grady,4ootnwx6kNm9jRd3hu0qRr,0.419,0.763,-5.011,0.0776,0.33,81.997,0.199,0.809
Love In My Pocket,Rich Brian,2NZ2hBqes4aKSmt5Gsxnub,0.832,0.615,-7.948,0.0351,0.02,113.017,0.11,0.77
Bury Me Alive,Oliver Tree,3sm9P6PgKzatTgyiyj0IzQ,0.636,0.817,-6.236,0.167,0.0149,103.929,0.196,0.638
Waves,Guthrie Govan,7M6vyvf2iByhXCg9qHTrk8,0.319,0.936,-5.357,0.187,0.000166,156.144,0.958,0.456
I Kissed Someone (It Wasn't You),dodie,32Et9vRc16rn8LWpU3UZ8u,0.458,0.179,-19.057,0.0888,0.938,77.737,0.119,0.243
You,Regard,2cc8Sw1OnCuA5bV8nqWqpE,0.691,0.695,-5.6,0.0367,0.0592,106.064,0.0647,0.514
